Name,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10
呂鞟衷,9,3,2,0,0,8,10,8,2,10
朱鸯悲,8,5,6,10,9,1,5,9,1,3
呂猓恰,7,4,3,9,8,1,3,0,8,4
高摐婦,5,4,3,1,0,5,8,4,0,8
林鳺搴,6,4,6,9,5,9,4,5,1,4
洪痁助,5,5,5,1,0,10,5,4,9,1
施菨媏,1,4,2,8,9,3,10,9,7,5
彭痎嬗,10,1,4,8,8,9,9,1,3,6
蔡堯麃,0,2,0,4,6,0,4,4,10,2
楊呮媘,7,5,2,3,10,8,2,2,0,2
謝铯歟,10,6,8,3,3,7,1,4,5,5
游璛攳,1,4,4,0,7,9,9,5,7,2
蔡檷鈚,10,2,6,8,1,6,4,7,8,7
朱杊舾,10,4,0,5,6,1,10,10,10,1
朱綽奼,8,10,1,1,5,6,6,0,6,9
鍾黓黁,9,2,6,8,9,9,7,1,10,9
呂鏄牧,1,6,7,7,6,1,6,8,10,9
徐鶴褸,1,2,0,3,0,9,0,0,4,0
謝韂働,6,7,4,2,5,5,5,4,9,2
莊晛祀,3,10,5,10,3,7,7,4,10,9
潘騌葧,8,10,3,6,9,10,10,2,1,1
游竊陥,8,7,4,9,6,1,8,0,1,0
李潬彑,1,5,6,4,1,6,7,3,10,8
陳笫茲,10,7,1,0,4,8,9,9,0,4
莊禄繶,5,10,10,2,3,5,8,7,8,8
許喍擓,0,6,1,2,9,3,10,2,3,7
賴驱剎,1,2,8,2,6,5,3,4,8,8
潘道栕,10,8,6,3,9,0,4,8,4,8
呂耏蜞,5,1,4,0,5,9,1,8,8,8
謝一憶,7,2,8,8,6,0,3,10,3,8
沈瀌邏,2,4,10,3,2,4,0,7,5,0
葉邦鞇,0,5,7,5,7,4,10,2,0,5
許乄涥,8,1,5,5,6,4,3,3,3,9
朱禿遲,6,4,2,3,8,0,1,10,5,8
謝虡镸,9,4,7,0,8,6,3,0,4,6
蔡皍也,1,2,8,2,9,6,8,9,9,2
朱灪捎,3,5,0,0,3,10,0,9,8,7
黃仮爹,7,6,8,10,2,3,10,2,4,0
徐鼀啫,0,10,6,9,8,8,6,6,1,10
謝緄吿,4,3,2,9,4,8,0,9,9,6
邱瀊鹃,1,6,2,5,10,0,2,8,2,3
胡稶衘,2,2,6,4,5,5,3,3,0,5
曾秎帯,7,7,8,3,1,10,10,5,3,6
彭苾舌,8,7,7,10,5,8,0,1,10,2
賴鱰娌,5,8,9,4,4,8,10,3,0,0
沈葽吥,0,5,1,7,10,5,1,2,4,3
朱婍洕,9,0,3,8,2,8,1,0,0,1
張邈択,10,3,10,8,8,9,10,6,9,0
陳缦玊,10,0,2,1,2,9,5,2,7,6
沈榳韃,2,4,1,9,7,5,3,10,8,8
鍾綦櫊,10,8,9,5,3,10,0,9,6,6
王慏諜,1,10,10,7,4,5,7,3,4,4
楊勺難,9,4,4,5,3,10,3,5,2,5
呂惥墂,5,4,5,0,1,10,1,6,3,10
楊乭穭,9,7,6,4,10,5,6,2,4,9
賴脗舩,9,6,4,6,7,7,7,0,5,9
郭塐滽,4,5,10,9,3,6,2,4,3,2
鍾喷旞,1,0,9,3,10,3,6,8,6,3
高熙元,4,9,5,8,1,6,5,0,6,10
陳罞稴,2,9,0,5,7,5,1,2,9,1
詹槴傴,6,7,0,2,2,5,3,0,7,9
陳舝僂,8,8,8,8,2,4,2,0,5,4
吳浃侮,9,4,4,6,7,1,2,2,8,8
黃嶩歏,5,7,8,1,6,2,7,3,0,1
黃孼囇,8,7,4,0,3,9,9,3,10,5
